Company Name,Title,Description,Location,Started On,Finished On
GeeksforGeeks,Campus Mantri (Official Representative) of GeeksforGeeks ,"Appointed as the official Campus Mantri for GeeksforGeeks at Nadimpalli Satyanarayana Raju Institute of Technology. Responsible for promoting GeeksforGeeks initiatives, organizing tech events, and acting as a liaison between GeeksforGeeks and the student community. My role involves leadership, brand advocacy, and fostering a tech-driven learning environment to increase student engagement.","Nadimpalli Satyanarayana Raju Institute of Technology collage  Visakhapatnam, Andhra Pradesh",May 2025,
turtil,Summer Internship,"Selected as a Summer Intern following a successful interview process. Contributed to company projects and tasks in alignment with turtil’s objectives. Maintained strict confidentiality regarding company operations, strategies, and proprietary information. Adhered to professional conduct policies and company guidelines throughout the internship. Actively participated in performance reviews and evaluations. Gained practical experience with real-world business operations and insights into strategic planning. Opportunity to be considered for a full-time role based on performance.","Vishakhapatnam, Andhra Pradesh, India",May 2025,Aug 2025
Demy Software Solutions,Intern,"""It's been an amazing experience in my B.Tech journey so far. This is the first time I've truly felt this way. The challenges and opportunities I've encountered have helped me grow both personally and professionally. Every step has been incredibly rewarding, from learning new concepts and working on exciting projects to collaborating with peers and professors. I'm excited to see what the rest of this journey holds and look forward to continuing to learn and evolve.""","Visakhapatnam, Andhra Pradesh, India",Jun 2024,Jul 2024
